Date,Commodity,State,District,Price,Land_Size_Acres,Market,Quantity
2016-03-08,Soybean,Maharashtra,Indore,4832.65,50,Indore,410
2016-03-09,Soybean,Maharashtra,Indore,4968.73,50,Indore,403
2016-03-10,Soybean,Maharashtra,Indore,5394.3,50,Indore,401
2016-03-11,Soybean,Maharashtra,Indore,5195.99,50,Indore,238
2016-03-12,Soybean,Maharashtra,Indore,4956.97,50,Indore,465
2016-03-13,Soybean,Maharashtra,Indore,4798.27,50,Indore,305
2016-03-14,Soybean,Maharashtra,Indore,4979.61,50,Indore,271
2016-03-15,Soybean,Maharashtra,Indore,4527.56,50,Indore,421
2016-03-16,Soybean,Maharashtra,Indore,4615.6,50,Indore,290
2016-03-17,Soybean,Maharashtra,Indore,4265.28,50,Indore,318
2016-03-18,Soybean,Maharashtra,Indore,4640.67,50,Indore,50
2016-03-19,Soybean,Maharashtra,Indore,4997.2,50,Indore,83
2016-03-20,Soybean,Maharashtra,Indore,4644.35,50,Indore,495
2016-03-21,Soybean,Maharashtra,Indore,4473.66,50,Indore,128
2016-03-22,Soybean,Maharashtra,Indore,4596.33,50,Indore,285
2016-03-23,Soybean,Maharashtra,Indore,4919.63,50,Indore,383
2016-03-24,Soybean,Maharashtra,Indore,4623.59,50,Indore,426
2016-03-25,Soybean,Maharashtra,Indore,4952.98,50,Indore,398
2016-03-26,Soybean,Maharashtra,Indore,4302.06,50,Indore,147
2016-03-27,Soybean,Maharashtra,Indore,4431.59,50,Indore,131
2016-03-28,Soybean,Maharashtra,Indore,4537.68,50,Indore,464
2016-03-29,Soybean,Maharashtra,Indore,4293.46,50,Indore,241
2016-03-30,Soybean,Maharashtra,Indore,5566.08,50,Indore,302
2016-03-31,Soybean,Maharashtra,Indore,4350.41,50,Indore,458
2016-04-01,Soybean,Maharashtra,Indore,4949.84,50,Indore,87
2016-04-02,Soybean,Maharashtra,Indore,4471.43,50,Indore,63
2016-04-03,Soybean,Maharashtra,Indore,4512.75,50,Indore,441
2016-04-04,Soybean,Maharashtra,Indore,4752.7,50,Indore,396
2016-04-05,Soybean,Maharashtra,Indore,4219.96,50,Indore,359
2016-04-06,Soybean,Maharashtra,Indore,4453.68,50,Indore,435
2016-04-07,Soybean,Maharashtra,Indore,4603.32,50,Indore,258
2016-04-08,Soybean,Maharashtra,Indore,4388.02,50,Indore,406
2016-04-09,Soybean,Maharashtra,Indore,4389.42,50,Indore,138
2016-04-10,Soybean,Maharashtra,Indore,4956.32,50,Indore,105
2016-04-11,Soybean,Maharashtra,Indore,4925.72,50,Indore,143
2016-04-12,Soybean,Maharashtra,Indore,4485.41,50,Indore,142
2016-04-13,Soybean,Maharashtra,Indore,4586.21,50,Indore,389
2016-04-14,Soybean,Maharashtra,Indore,4975.87,50,Indore,134
2016-04-15,Soybean,Maharashtra,Indore,4169.94,50,Indore,494
2016-04-16,Soybean,Maharashtra,Indore,4692.2,50,Indore,294
2016-04-17,Soybean,Maharashtra,Indore,5175.88,50,Indore,71
2016-04-18,Soybean,Maharashtra,Indore,5165.54,50,Indore,340
2016-04-19,Soybean,Maharashtra,Indore,3986.39,50,Indore,321
2016-04-20,Soybean,Maharashtra,Indore,4331.72,50,Indore,355
2016-04-21,Soybean,Maharashtra,Indore,4603.07,50,Indore,171
2016-04-22,Soybean,Maharashtra,Indore,4147.68,50,Indore,177
2016-04-23,Soybean,Maharashtra,Indore,4335.36,50,Indore,162
2016-04-24,Soybean,Maharashtra,Indore,4486.06,50,Indore,476
2016-04-25,Soybean,Maharashtra,Indore,4938.88,50,Indore,322
2016-04-26,Soybean,Maharashtra,Indore,4495.93,50,Indore,385
2016-04-27,Soybean,Maharashtra,Indore,4565.53,50,Indore,491
2016-04-28,Soybean,Maharashtra,Indore,4644.91,50,Indore,179
2016-04-29,Soybean,Maharashtra,Indore,4644.79,50,Indore,181
2016-04-30,Soybean,Maharashtra,Indore,4480.57,50,Indore,134
2016-05-01,Soybean,Maharashtra,Indore,4103.26,50,Indore,472
2016-05-02,Soybean,Maharashtra,Indore,4689.38,50,Indore,399
2016-05-03,Soybean,Maharashtra,Indore,4571.86,50,Indore,439
2016-05-04,Soybean,Maharashtra,Indore,4103.18,50,Indore,130
2016-05-05,Soybean,Maharashtra,Indore,4217.15,50,Indore,374
2016-05-06,Soybean,Maharashtra,Indore,4677.59,50,Indore,118
2016-05-07,Soybean,Maharashtra,Indore,4582.34,50,Indore,197
2016-05-08,Soybean,Maharashtra,Indore,4173.83,50,Indore,497
2016-05-09,Soybean,Maharashtra,Indore,4298.03,50,Indore,65
2016-05-10,Soybean,Maharashtra,Indore,4324.93,50,Indore,356
2016-05-11,Soybean,Maharashtra,Indore,4541.91,50,Indore,154
2016-05-12,Soybean,Maharashtra,Indore,4720.2,50,Indore,214
2016-05-13,Soybean,Maharashtra,Indore,4353.81,50,Indore,250
2016-05-14,Soybean,Maharashtra,Indore,4673.35,50,Indore,246
2016-05-15,Soybean,Maharashtra,Indore,4572.95,50,Indore,475
2016-05-16,Soybean,Maharashtra,Indore,4360.91,50,Indore,234
2016-05-17,Soybean,Maharashtra,Indore,3854.32,50,Indore,371
2016-05-18,Soybean,Maharashtra,Indore,3967.11,50,Indore,314
2016-05-19,Soybean,Maharashtra,Indore,4485.74,50,Indore,412
2016-05-20,Soybean,Maharashtra,Indore,3738.07,50,Indore,149
2016-05-21,Soybean,Maharashtra,Indore,4274.7,50,Indore,391
2016-05-22,Soybean,Maharashtra,Indore,4526.84,50,Indore,369
2016-05-23,Soybean,Maharashtra,Indore,4260.02,50,Indore,263
2016-05-24,Soybean,Maharashtra,Indore,4021.4,50,Indore,327
2016-05-25,Soybean,Maharashtra,Indore,3935.28,50,Indore,211
2016-05-26,Soybean,Maharashtra,Indore,4421.49,50,Indore,488
2016-05-27,Soybean,Maharashtra,Indore,4305.47,50,Indore,206
2016-05-28,Soybean,Maharashtra,Indore,4065.56,50,Indore,471
2016-05-29,Soybean,Maharashtra,Indore,4457.98,50,Indore,300
2016-05-30,Soybean,Maharashtra,Indore,4381.73,50,Indore,415
2016-05-31,Soybean,Maharashtra,Indore,4649.2,50,Indore,146
2016-06-01,Soybean,Maharashtra,Indore,4269.72,50,Indore,67
2016-06-02,Soybean,Maharashtra,Indore,4037.3,50,Indore,376
2016-06-03,Soybean,Maharashtra,Indore,4030.71,50,Indore,498
2016-06-04,Soybean,Maharashtra,Indore,3480.15,50,Indore,432
2016-06-05,Soybean,Maharashtra,Indore,4092.61,50,Indore,146
2016-06-06,Soybean,Maharashtra,Indore,4029.56,50,Indore,50
2016-06-07,Soybean,Maharashtra,Indore,3622.09,50,Indore,265
2016-06-08,Soybean,Maharashtra,Indore,4000.35,50,Indore,181
2016-06-09,Soybean,Maharashtra,Indore,4397.69,50,Indore,309
2016-06-10,Soybean,Maharashtra,Indore,3761.17,50,Indore,174
2016-06-11,Soybean,Maharashtra,Indore,3680.36,50,Indore,131
2016-06-12,Soybean,Maharashtra,Indore,4286.59,50,Indore,332
2016-06-13,Soybean,Maharashtra,Indore,4132.17,50,Indore,220
2016-06-14,Soybean,Maharashtra,Indore,4847.02,50,Indore,108
2016-06-15,Soybean,Maharashtra,Indore,3519.93,50,Indore,81
2016-06-16,Soybean,Maharashtra,Indore,4118.43,50,Indore,210
2016-06-17,Soybean,Maharashtra,Indore,3983.92,50,Indore,333
2016-06-18,Soybean,Maharashtra,Indore,3893.79,50,Indore,155
2016-06-19,Soybean,Maharashtra,Indore,4136.04,50,Indore,154
2016-06-20,Soybean,Maharashtra,Indore,3840.88,50,Indore,488
2016-06-21,Soybean,Maharashtra,Indore,3255.83,50,Indore,277
2016-06-22,Soybean,Maharashtra,Indore,3569.52,50,Indore,237
2016-06-23,Soybean,Maharashtra,Indore,4220.09,50,Indore,119
2016-06-24,Soybean,Maharashtra,Indore,4149.44,50,Indore,367
2016-06-25,Soybean,Maharashtra,Indore,3673.02,50,Indore,339
2016-06-26,Soybean,Maharashtra,Indore,3923.21,50,Indore,136
2016-06-27,Soybean,Maharashtra,Indore,4594.54,50,Indore,419
2016-06-28,Soybean,Maharashtra,Indore,3737.3,50,Indore,411
2016-06-29,Soybean,Maharashtra,Indore,3730.54,50,Indore,105
2016-06-30,Soybean,Maharashtra,Indore,3778.63,50,Indore,162
2016-07-01,Soybean,Maharashtra,Indore,3891.05,50,Indore,62
2016-07-02,Soybean,Maharashtra,Indore,3591.87,50,Indore,489
2016-07-03,Soybean,Maharashtra,Indore,3866.04,50,Indore,67
2016-07-04,Soybean,Maharashtra,Indore,3088.68,50,Indore,231
2016-07-05,Soybean,Maharashtra,Indore,3760.71,50,Indore,162
2016-07-06,Soybean,Maharashtra,Indore,3662.91,50,Indore,278
2016-07-07,Soybean,Maharashtra,Indore,3570.51,50,Indore,220
2016-07-08,Soybean,Maharashtra,Indore,3481.3,50,Indore,344
2016-07-09,Soybean,Maharashtra,Indore,3429.29,50,Indore,238
2016-07-10,Soybean,Maharashtra,Indore,3356.39,50,Indore,475
2016-07-11,Soybean,Maharashtra,Indore,2893.47,50,Indore,128
2016-07-12,Soybean,Maharashtra,Indore,3497.05,50,Indore,195
2016-07-13,Soybean,Maharashtra,Indore,3895.04,50,Indore,456
2016-07-14,Soybean,Maharashtra,Indore,3454.32,50,Indore,231
2016-07-15,Soybean,Maharashtra,Indore,3734.41,50,Indore,335
2016-07-16,Soybean,Maharashtra,Indore,3208.87,50,Indore,299
2016-07-17,Soybean,Maharashtra,Indore,3130.41,50,Indore,403
2016-07-18,Soybean,Maharashtra,Indore,3286.21,50,Indore,363
2016-07-19,Soybean,Maharashtra,Indore,3193.26,50,Indore,245
2016-07-20,Soybean,Maharashtra,Indore,3135.6,50,Indore,372
2016-07-21,Soybean,Maharashtra,Indore,3615.19,50,Indore,120
2016-07-22,Soybean,Maharashtra,Indore,4003.84,50,Indore,297
2016-07-23,Soybean,Maharashtra,Indore,3260.13,50,Indore,195
2016-07-24,Soybean,Maharashtra,Indore,2942.87,50,Indore,155
2016-07-25,Soybean,Maharashtra,Indore,3637.82,50,Indore,312
2016-07-26,Soybean,Maharashtra,Indore,3000.53,50,Indore,345
2016-07-27,Soybean,Maharashtra,Indore,3067.01,50,Indore,119
2016-07-28,Soybean,Maharashtra,Indore,3561.34,50,Indore,242
2016-07-29,Soybean,Maharashtra,Indore,3354.27,50,Indore,117
2016-07-30,Soybean,Maharashtra,Indore,3188.91,50,Indore,354
2016-07-31,Soybean,Maharashtra,Indore,3406.94,50,Indore,101
2016-08-01,Soybean,Maharashtra,Indore,3255.16,50,Indore,419
2016-08-02,Soybean,Maharashtra,Indore,3936.57,50,Indore,412
2016-08-03,Soybean,Maharashtra,Indore,3158.88,50,Indore,334
2016-08-04,Soybean,Maharashtra,Indore,3079.69,50,Indore,454
2016-08-05,Soybean,Maharashtra,Indore,3209.49,50,Indore,383
2016-08-06,Soybean,Maharashtra,Indore,3214.65,50,Indore,58
2016-08-07,Soybean,Maharashtra,Indore,3509.84,50,Indore,300
2016-08-08,Soybean,Maharashtra,Indore,2726.55,50,Indore,480
2016-08-09,Soybean,Maharashtra,Indore,3444.88,50,Indore,381
2016-08-10,Soybean,Maharashtra,Indore,3147.95,50,Indore,347
2016-08-11,Soybean,Maharashtra,Indore,3536.84,50,Indore,484
2016-08-12,Soybean,Maharashtra,Indore,3283.17,50,Indore,233
2016-08-13,Soybean,Maharashtra,Indore,3446.94,50,Indore,228
2016-08-14,Soybean,Maharashtra,Indore,3168.0,50,Indore,247
2016-08-15,Soybean,Maharashtra,Indore,3411.12,50,Indore,177
2016-08-16,Soybean,Maharashtra,Indore,3773.34,50,Indore,69
2016-08-17,Soybean,Maharashtra,Indore,3047.16,50,Indore,460
2016-08-18,Soybean,Maharashtra,Indore,3231.7,50,Indore,471
2016-08-19,Soybean,Maharashtra,Indore,3113.14,50,Indore,377
2016-08-20,Soybean,Maharashtra,Indore,3732.27,50,Indore,114
2016-08-21,Soybean,Maharashtra,Indore,3119.78,50,Indore,231
2016-08-22,Soybean,Maharashtra,Indore,3025.96,50,Indore,290
2016-08-23,Soybean,Maharashtra,Indore,3068.32,50,Indore,418
2016-08-24,Soybean,Maharashtra,Indore,3197.34,50,Indore,73
2016-08-25,Soybean,Maharashtra,Indore,2996.49,50,Indore,433
2016-08-26,Soybean,Maharashtra,Indore,3120.71,50,Indore,480
2016-08-27,Soybean,Maharashtra,Indore,3275.34,50,Indore,132
2016-08-28,Soybean,Maharashtra,Indore,3190.71,50,Indore,368
2016-08-29,Soybean,Maharashtra,Indore,3472.26,50,Indore,234
2016-08-30,Soybean,Maharashtra,Indore,3124.56,50,Indore,488
2016-08-31,Soybean,Maharashtra,Indore,3156.84,50,Indore,365
2016-09-01,Soybean,Maharashtra,Indore,3297.64,50,Indore,148
2016-09-02,Soybean,Maharashtra,Indore,3888.08,50,Indore,111
2016-09-03,Soybean,Maharashtra,Indore,2976.92,50,Indore,335
2016-09-04,Soybean,Maharashtra,Indore,3789.08,50,Indore,71
2016-09-05,Soybean,Maharashtra,Indore,2855.95,50,Indore,261
2016-09-06,Soybean,Maharashtra,Indore,3278.97,50,Indore,175
2016-09-07,Soybean,Maharashtra,Indore,3107.96,50,Indore,462
2016-09-08,Soybean,Maharashtra,Indore,2964.93,50,Indore,474
2016-09-09,Soybean,Maharashtra,Indore,3419.21,50,Indore,91
2016-09-10,Soybean,Maharashtra,Indore,3389.66,50,Indore,147
2016-09-11,Soybean,Maharashtra,Indore,3065.76,50,Indore,498
2016-09-12,Soybean,Maharashtra,Indore,2582.68,50,Indore,80
2016-09-13,Soybean,Maharashtra,Indore,3085.72,50,Indore,207
2016-09-14,Soybean,Maharashtra,Indore,3254.65,50,Indore,161
2016-09-15,Soybean,Maharashtra,Indore,3214.83,50,Indore,451
2016-09-16,Soybean,Maharashtra,Indore,3442.69,50,Indore,296
2016-09-17,Soybean,Maharashtra,Indore,3797.83,50,Indore,171
2016-09-18,Soybean,Maharashtra,Indore,3344.03,50,Indore,322
2016-09-19,Soybean,Maharashtra,Indore,3392.53,50,Indore,343
2016-09-20,Soybean,Maharashtra,Indore,3269.22,50,Indore,447
2016-09-21,Soybean,Maharashtra,Indore,3579.3,50,Indore,256
2016-09-22,Soybean,Maharashtra,Indore,3390.03,50,Indore,159
2016-09-23,Soybean,Maharashtra,Indore,3458.61,50,Indore,489
2016-09-24,Soybean,Maharashtra,Indore,3780.06,50,Indore,327
2016-09-25,Soybean,Maharashtra,Indore,3309.2,50,Indore,105
2016-09-26,Soybean,Maharashtra,Indore,3163.77,50,Indore,424
2016-09-27,Soybean,Maharashtra,Indore,3383.14,50,Indore,452
2016-09-28,Soybean,Maharashtra,Indore,3594.54,50,Indore,106
2016-09-29,Soybean,Maharashtra,Indore,3408.74,50,Indore,477
2016-09-30,Soybean,Maharashtra,Indore,3581.37,50,Indore,340
2016-10-01,Soybean,Maharashtra,Indore,3067.58,50,Indore,163
2016-10-02,Soybean,Maharashtra,Indore,3013.16,50,Indore,430
2016-10-03,Soybean,Maharashtra,Indore,3115.61,50,Indore,434
2016-10-04,Soybean,Maharashtra,Indore,2904.66,50,Indore,357
2016-10-05,Soybean,Maharashtra,Indore,3323.94,50,Indore,390
2016-10-06,Soybean,Maharashtra,Indore,3168.03,50,Indore,247
2016-10-07,Soybean,Maharashtra,Indore,3672.51,50,Indore,470
2016-10-08,Soybean,Maharashtra,Indore,2922.7,50,Indore,370
2016-10-09,Soybean,Maharashtra,Indore,3783.38,50,Indore,228
2016-10-10,Soybean,Maharashtra,Indore,3029.58,50,Indore,434
2016-10-11,Soybean,Maharashtra,Indore,2959.72,50,Indore,268
2016-10-12,Soybean,Maharashtra,Indore,3091.25,50,Indore,326
2016-10-13,Soybean,Maharashtra,Indore,3931.69,50,Indore,486
2016-10-14,Soybean,Maharashtra,Indore,3342.14,50,Indore,65
2016-10-15,Soybean,Maharashtra,Indore,3521.05,50,Indore,428
2016-10-16,Soybean,Maharashtra,Indore,3315.31,50,Indore,110
2016-10-17,Soybean,Maharashtra,Indore,3351.91,50,Indore,103
2016-10-18,Soybean,Maharashtra,Indore,3235.81,50,Indore,217
2016-10-19,Soybean,Maharashtra,Indore,3411.63,50,Indore,75
2016-10-20,Soybean,Maharashtra,Indore,3553.81,50,Indore,385
2016-10-21,Soybean,Maharashtra,Indore,3918.13,50,Indore,114
2016-10-22,Soybean,Maharashtra,Indore,2861.69,50,Indore,149
2016-10-23,Soybean,Maharashtra,Indore,3916.84,50,Indore,123
2016-10-24,Soybean,Maharashtra,Indore,3601.73,50,Indore,241
2016-10-25,Soybean,Maharashtra,Indore,3342.94,50,Indore,220
2016-10-26,Soybean,Maharashtra,Indore,3299.04,50,Indore,322
2016-10-27,Soybean,Maharashtra,Indore,3786.73,50,Indore,426
2016-10-28,Soybean,Maharashtra,Indore,3552.75,50,Indore,236
2016-10-29,Soybean,Maharashtra,Indore,3034.43,50,Indore,72
2016-10-30,Soybean,Maharashtra,Indore,3614.32,50,Indore,440
2016-10-31,Soybean,Maharashtra,Indore,3859.62,50,Indore,477
2016-11-01,Soybean,Maharashtra,Indore,3784.73,50,Indore,230
2016-11-02,Soybean,Maharashtra,Indore,3350.53,50,Indore,376
2016-11-03,Soybean,Maharashtra,Indore,3147.35,50,Indore,157
2016-11-04,Soybean,Maharashtra,Indore,3463.67,50,Indore,384
2016-11-05,Soybean,Maharashtra,Indore,4549.31,50,Indore,211
2016-11-06,Soybean,Maharashtra,Indore,3121.4,50,Indore,351
2016-11-07,Soybean,Maharashtra,Indore,3344.0,50,Indore,255
2016-11-08,Soybean,Maharashtra,Indore,3726.49,50,Indore,127
2016-11-09,Soybean,Maharashtra,Indore,3583.7,50,Indore,65
2016-11-10,Soybean,Maharashtra,Indore,3573.31,50,Indore,376
2016-11-11,Soybean,Maharashtra,Indore,4253.21,50,Indore,145
2016-11-12,Soybean,Maharashtra,Indore,3402.37,50,Indore,196
2016-11-13,Soybean,Maharashtra,Indore,3666.72,50,Indore,51
2016-11-14,Soybean,Maharashtra,Indore,3744.35,50,Indore,59
2016-11-15,Soybean,Maharashtra,Indore,3455.23,50,Indore,483
2016-11-16,Soybean,Maharashtra,Indore,3277.44,50,Indore,174
2016-11-17,Soybean,Maharashtra,Indore,3803.51,50,Indore,130
2016-11-18,Soybean,Maharashtra,Indore,4279.99,50,Indore,189
2016-11-19,Soybean,Maharashtra,Indore,3870.54,50,Indore,375
2016-11-20,Soybean,Maharashtra,Indore,3789.54,50,Indore,199
2016-11-21,Soybean,Maharashtra,Indore,3800.78,50,Indore,337
2016-11-22,Soybean,Maharashtra,Indore,3711.96,50,Indore,410
2016-11-23,Soybean,Maharashtra,Indore,4158.13,50,Indore,389
2016-11-24,Soybean,Maharashtra,Indore,3665.13,50,Indore,178
2016-11-25,Soybean,Maharashtra,Indore,3423.47,50,Indore,487
2016-11-26,Soybean,Maharashtra,Indore,3369.81,50,Indore,288
2016-11-27,Soybean,Maharashtra,Indore,3881.88,50,Indore,107
2016-11-28,Soybean,Maharashtra,Indore,4190.31,50,Indore,247
2016-11-29,Soybean,Maharashtra,Indore,3957.33,50,Indore,260
2016-11-30,Soybean,Maharashtra,Indore,3804.9,50,Indore,451
2016-12-01,Soybean,Maharashtra,Indore,4051.72,50,Indore,439
2016-12-02,Soybean,Maharashtra,Indore,3984.17,50,Indore,94
2016-12-03,Soybean,Maharashtra,Indore,4190.32,50,Indore,146
2016-12-04,Soybean,Maharashtra,Indore,4354.6,50,Indore,328
2016-12-05,Soybean,Maharashtra,Indore,3684.55,50,Indore,72
2016-12-06,Soybean,Maharashtra,Indore,3283.23,50,Indore,459
2016-12-07,Soybean,Maharashtra,Indore,3893.91,50,Indore,440
2016-12-08,Soybean,Maharashtra,Indore,3707.85,50,Indore,384
2016-12-09,Soybean,Maharashtra,Indore,4277.53,50,Indore,93
2016-12-10,Soybean,Maharashtra,Indore,3824.95,50,Indore,76
2016-12-11,Soybean,Maharashtra,Indore,3493.83,50,Indore,331
2016-12-12,Soybean,Maharashtra,Indore,3898.61,50,Indore,146
2016-12-13,Soybean,Maharashtra,Indore,3637.58,50,Indore,85
2016-12-14,Soybean,Maharashtra,Indore,4576.52,50,Indore,158
2016-12-15,Soybean,Maharashtra,Indore,4255.26,50,Indore,104
2016-12-16,Soybean,Maharashtra,Indore,4322.3,50,Indore,241
2016-12-17,Soybean,Maharashtra,Indore,4303.1,50,Indore,268
2016-12-18,Soybean,Maharashtra,Indore,4408.57,50,Indore,234
2016-12-19,Soybean,Maharashtra,Indore,4510.73,50,Indore,118
2016-12-20,Soybean,Maharashtra,Indore,4022.97,50,Indore,366
2016-12-21,Soybean,Maharashtra,Indore,3773.04,50,Indore,179
2016-12-22,Soybean,Maharashtra,Indore,3959.05,50,Indore,104
2016-12-23,Soybean,Maharashtra,Indore,4213.6,50,Indore,427
2016-12-24,Soybean,Maharashtra,Indore,3471.88,50,Indore,146
2016-12-25,Soybean,Maharashtra,Indore,4597.96,50,Indore,385
2016-12-26,Soybean,Maharashtra,Indore,3700.01,50,Indore,136
2016-12-27,Soybean,Maharashtra,Indore,4462.6,50,Indore,343
2016-12-28,Soybean,Maharashtra,Indore,4246.23,50,Indore,168
2016-12-29,Soybean,Maharashtra,Indore,4395.91,50,Indore,257
2016-12-30,Soybean,Maharashtra,Indore,4182.42,50,Indore,383
2016-12-31,Soybean,Maharashtra,Indore,4402.72,50,Indore,462
2017-01-01,Soybean,Maharashtra,Indore,4209.48,50,Indore,203
