Date,Commodity,Price,Market,Quantity
2023-03-17,Soybean,5359.17,Mumbai,188
2023-03-18,Soybean,5471.73,Chennai,684
2023-03-19,Soybean,5528.03,Chennai,688
2023-03-20,Soybean,5227.35,Mumbai,423
2023-03-21,Soybean,5216.86,Delhi,480
2023-03-22,Soybean,5357.73,Surat,713
2023-03-23,Soybean,5196.79,Indore,553
2023-03-24,Soybean,5421.91,Delhi,693
2023-03-25,Soybean,5370.89,Chennai,378
2023-03-26,Soybean,5921.9,Indore,464
2023-03-27,Soybean,5191.65,Indore,740
2023-03-28,Soybean,5241.58,Mumbai,824
2023-03-29,Soybean,5483.95,Mumbai,175
2023-03-30,Soybean,5574.74,Delhi,810
2023-03-31,Soybean,5858.52,Chennai,927
2023-04-01,Soybean,5726.4,Chennai,572
2023-04-02,Soybean,5567.14,Mumbai,404
2023-04-03,Soybean,5461.45,Mumbai,390
2023-04-04,Soybean,5582.45,Surat,201
2023-04-05,Soybean,5281.2,Delhi,366
2023-04-06,Soybean,5340.03,Indore,721
2023-04-07,Soybean,5106.62,Delhi,876
2023-04-08,Soybean,5357.04,Indore,184
2023-04-09,Soybean,5594.89,Delhi,427
2023-04-10,Soybean,5359.83,Delhi,553
2023-04-11,Soybean,5246.22,Surat,728
2023-04-12,Soybean,5328.18,Chennai,253
2023-04-13,Soybean,5543.92,Mumbai,111
2023-04-14,Soybean,5346.77,Chennai,403
2023-04-15,Soybean,5566.58,Chennai,399
2023-04-16,Soybean,5132.87,Surat,882
2023-04-17,Soybean,5219.46,Indore,442
2023-04-18,Soybean,5290.44,Delhi,463
2023-04-19,Soybean,5127.88,Indore,526
2023-04-20,Soybean,5976.56,Chennai,120
2023-04-21,Soybean,5166.39,Indore,435
2023-04-22,Soybean,5566.3,Chennai,223
2023-04-23,Soybean,5247.65,Mumbai,903
2023-04-24,Soybean,5275.5,Indore,150
2023-04-25,Soybean,5435.79,Surat,888
2023-04-26,Soybean,5080.95,Chennai,569
2023-04-27,Soybean,5237.09,Indore,901
2023-04-28,Soybean,5337.2,Chennai,472
2023-04-29,Soybean,5194.01,Surat,593
2023-04-30,Soybean,5195.3,Indore,768
2023-05-01,Soybean,5573.6,Surat,390
2023-05-02,Soybean,5553.58,Delhi,519
2023-05-03,Soybean,5260.43,Delhi,101
2023-05-04,Soybean,5328.02,Mumbai,688
2023-05-05,Soybean,5588.2,Surat,189
2023-05-06,Soybean,5051.32,Mumbai,449
2023-05-07,Soybean,5399.91,Indore,362
2023-05-08,Soybean,5722.79,Surat,685
2023-05-09,Soybean,5716.34,Chennai,258
2023-05-10,Soybean,4930.68,Mumbai,544
2023-05-11,Soybean,5161.35,Delhi,135
2023-05-12,Soybean,5342.71,Surat,551
2023-05-13,Soybean,5039.58,Mumbai,271
2023-05-14,Soybean,5165.18,Chennai,461
2023-05-15,Soybean,5266.12,Indore,240
2023-05-16,Soybean,5568.49,Chennai,825
2023-05-17,Soybean,5273.69,Surat,125
2023-05-18,Soybean,5320.59,Mumbai,882
2023-05-19,Soybean,5374.02,Delhi,477
2023-05-20,Soybean,5374.46,Mumbai,736
2023-05-21,Soybean,5265.5,Delhi,683
2023-05-22,Soybean,5014.49,Mumbai,253
2023-05-23,Soybean,5405.77,Indore,392
2023-05-24,Soybean,5327.97,Surat,149
2023-05-25,Soybean,5016.06,Indore,711
2023-05-26,Soybean,5092.6,Surat,266
2023-05-27,Soybean,5400.12,Delhi,956
2023-05-28,Soybean,5337.19,Delhi,775
2023-05-29,Soybean,5065.42,Delhi,538
2023-05-30,Soybean,5148.8,Delhi,680
2023-05-31,Soybean,5167.32,Mumbai,582
2023-06-01,Soybean,5312.56,Surat,325
2023-06-02,Soybean,5432.01,Mumbai,730
2023-06-03,Soybean,5188.35,Chennai,761
2023-06-04,Soybean,5401.98,Chennai,754
2023-06-05,Soybean,5335.66,Indore,554
2023-06-06,Soybean,5194.91,Indore,749
2023-06-07,Soybean,4857.8,Mumbai,689
2023-06-08,Soybean,4933.61,Chennai,608
2023-06-09,Soybean,5280.0,Mumbai,353
2023-06-10,Soybean,4782.18,Mumbai,869
2023-06-11,Soybean,5140.56,Indore,362
2023-06-12,Soybean,5309.29,Chennai,757
2023-06-13,Soybean,5132.05,Indore,653
2023-06-14,Soybean,4973.61,Chennai,266
2023-06-15,Soybean,4916.85,Mumbai,852
2023-06-16,Soybean,5241.64,Indore,379
2023-06-17,Soybean,5164.94,Surat,401
2023-06-18,Soybean,5005.66,Indore,679
2023-06-19,Soybean,5267.93,Delhi,201
2023-06-20,Soybean,5217.76,Delhi,387
2023-06-21,Soybean,5396.73,Chennai,135
2023-06-22,Soybean,5144.41,Chennai,452
2023-06-23,Soybean,4990.12,Surat,998
2023-06-24,Soybean,4986.4,Mumbai,747
2023-06-25,Soybean,4620.03,Mumbai,990
2023-06-26,Soybean,5029.0,Mumbai,807
2023-06-27,Soybean,4987.64,Chennai,660
2023-06-28,Soybean,4716.67,Surat,741
2023-06-29,Soybean,4969.51,Surat,616
2023-06-30,Soybean,5235.08,Surat,638
2023-07-01,Soybean,4811.41,Chennai,875
2023-07-02,Soybean,4758.21,Delhi,166
2023-07-03,Soybean,5163.04,Surat,480
2023-07-04,Soybean,5060.76,Delhi,358
2023-07-05,Soybean,5538.0,Delhi,826
2023-07-06,Soybean,4653.95,Surat,869
2023-07-07,Soybean,5053.62,Mumbai,902
2023-07-08,Soybean,4964.62,Delhi,570
2023-07-09,Soybean,4905.2,Surat,363
2023-07-10,Soybean,5067.38,Surat,541
2023-07-11,Soybean,4871.27,Surat,552
2023-07-12,Soybean,4481.91,Chennai,576
2023-07-13,Soybean,4691.7,Mumbai,410
2023-07-14,Soybean,5126.07,Delhi,545
2023-07-15,Soybean,5079.63,Mumbai,154
2023-07-16,Soybean,4762.68,Surat,756
2023-07-17,Soybean,4930.13,Surat,747
2023-07-18,Soybean,5378.35,Surat,614
2023-07-19,Soybean,4807.5,Chennai,378
2023-07-20,Soybean,4803.65,Surat,726
2023-07-21,Soybean,4836.35,Chennai,971
2023-07-22,Soybean,4911.94,Surat,420
2023-07-23,Soybean,4713.13,Mumbai,385
2023-07-24,Soybean,4896.55,Chennai,183
2023-07-25,Soybean,4378.95,Delhi,555
2023-07-26,Soybean,4827.59,Mumbai,883
2023-07-27,Soybean,4763.02,Surat,649
2023-07-28,Soybean,4702.04,Surat,837
2023-07-29,Soybean,4643.19,Chennai,753
2023-07-30,Soybean,4609.13,Surat,580
2023-07-31,Soybean,4561.14,Delhi,848
2023-08-01,Soybean,4253.13,Delhi,460
2023-08-02,Soybean,4656.12,Chennai,869
2023-08-03,Soybean,4922.04,Indore,860
2023-08-04,Soybean,4628.81,Mumbai,548
2023-08-05,Soybean,4816.12,Indore,934
2023-08-06,Soybean,4466.34,Surat,801
2023-08-07,Soybean,4414.61,Delhi,295
2023-08-08,Soybean,4519.05,Delhi,410
2023-08-09,Soybean,4457.64,Indore,505
2023-08-10,Soybean,4419.76,Indore,242
2023-08-11,Soybean,4740.04,Surat,200
2023-08-12,Soybean,4999.68,Surat,589
2023-08-13,Soybean,4504.41,Surat,338
2023-08-14,Soybean,4293.44,Mumbai,141
2023-08-15,Soybean,4757.26,Delhi,528
2023-08-16,Soybean,4332.92,Indore,257
2023-08-17,Soybean,4377.75,Delhi,769
2023-08-18,Soybean,4707.81,Indore,947
2023-08-19,Soybean,4570.26,Surat,625
2023-08-20,Soybean,4460.51,Mumbai,498
2023-08-21,Soybean,4606.35,Chennai,774
2023-08-22,Soybean,4505.64,Delhi,958
2023-08-23,Soybean,4960.38,Delhi,565
2023-08-24,Soybean,4442.38,Surat,867
2023-08-25,Soybean,4390.04,Delhi,636
2023-08-26,Soybean,4477.02,Delhi,892
2023-08-27,Soybean,4480.89,Chennai,921
2023-08-28,Soybean,4678.12,Mumbai,263
2023-08-29,Soybean,4156.34,Mumbai,209
2023-08-30,Soybean,4635.64,Chennai,535
2023-08-31,Soybean,4438.09,Indore,582
2023-09-01,Soybean,4697.75,Mumbai,124
2023-09-02,Soybean,4529.02,Chennai,216
2023-09-03,Soybean,4638.59,Delhi,491
2023-09-04,Soybean,4452.99,Chennai,636
2023-09-05,Soybean,4615.43,Surat,272
2023-09-06,Soybean,4857.27,Surat,111
2023-09-07,Soybean,4373.49,Surat,752
2023-09-08,Soybean,4496.85,Surat,757
2023-09-09,Soybean,4418.14,Chennai,927
2023-09-10,Soybean,4831.21,Chennai,142
2023-09-11,Soybean,4423.19,Delhi,159
2023-09-12,Soybean,4360.94,Indore,386
2023-09-13,Soybean,4389.47,Indore,616
2023-09-14,Soybean,4475.76,Indore,877
2023-09-15,Soybean,4342.13,Mumbai,741
2023-09-16,Soybean,4425.21,Indore,789
2023-09-17,Soybean,4528.55,Chennai,155
2023-09-18,Soybean,4472.36,Mumbai,182
2023-09-19,Soybean,4660.3,Mumbai,198
2023-09-20,Soybean,4428.72,Chennai,428
2023-09-21,Soybean,4450.45,Surat,289
2023-09-22,Soybean,4544.52,Indore,362
2023-09-23,Soybean,4938.34,Surat,708
2023-09-24,Soybean,4331.09,Surat,871
2023-09-25,Soybean,4872.7,Mumbai,200
2023-09-26,Soybean,4250.77,Surat,919
2023-09-27,Soybean,4532.95,Chennai,919
2023-09-28,Soybean,4419.08,Surat,223
2023-09-29,Soybean,4323.87,Delhi,162
2023-09-30,Soybean,4626.84,Chennai,727
2023-10-01,Soybean,4607.26,Chennai,582
2023-10-02,Soybean,4391.43,Indore,191
2023-10-03,Soybean,4069.47,Chennai,697
2023-10-04,Soybean,4404.92,Chennai,609
2023-10-05,Soybean,4517.61,Delhi,673
2023-10-06,Soybean,4491.13,Indore,504
2023-10-07,Soybean,4643.09,Chennai,749
2023-10-08,Soybean,4879.9,Delhi,987
2023-10-09,Soybean,4577.4,Chennai,164
2023-10-10,Soybean,4609.76,Chennai,312
2023-10-11,Soybean,4527.57,Delhi,341
2023-10-12,Soybean,4734.3,Chennai,312
2023-10-13,Soybean,4608.11,Chennai,437
2023-10-14,Soybean,4653.82,Chennai,272
2023-10-15,Soybean,4868.1,Surat,564
2023-10-16,Soybean,4554.16,Indore,596
2023-10-17,Soybean,4457.17,Surat,494
2023-10-18,Soybean,4603.36,Chennai,407
2023-10-19,Soybean,4744.23,Chennai,893
2023-10-20,Soybean,4620.3,Surat,645
2023-10-21,Soybean,4735.3,Surat,723
2023-10-22,Soybean,4392.69,Surat,693
2023-10-23,Soybean,4356.31,Indore,844
2023-10-24,Soybean,4424.5,Chennai,535
2023-10-25,Soybean,4283.76,Chennai,521
2023-10-26,Soybean,4563.15,Delhi,120
2023-10-27,Soybean,4459.08,Delhi,496
2023-10-28,Soybean,4795.25,Mumbai,204
2023-10-29,Soybean,4295.23,Mumbai,219
2023-10-30,Soybean,4868.85,Mumbai,524
2023-10-31,Soybean,4366.15,Mumbai,229
2023-11-01,Soybean,4319.4,Surat,659
2023-11-02,Soybean,4406.89,Chennai,196
2023-11-03,Soybean,4966.99,Delhi,341
2023-11-04,Soybean,4573.75,Delhi,331
2023-11-05,Soybean,4692.82,Chennai,383
2023-11-06,Soybean,4555.44,Indore,858
2023-11-07,Soybean,4579.61,Delhi,875
2023-11-08,Soybean,4501.97,Indore,825
2023-11-09,Soybean,4618.94,Mumbai,178
2023-11-10,Soybean,4713.47,Mumbai,954
2023-11-11,Soybean,4956.09,Chennai,566
2023-11-12,Soybean,4251.53,Chennai,515
2023-11-13,Soybean,4954.69,Surat,548
2023-11-14,Soybean,4744.34,Chennai,107
2023-11-15,Soybean,4571.52,Chennai,299
2023-11-16,Soybean,4541.96,Mumbai,186
2023-11-17,Soybean,4866.78,Indore,484
2023-11-18,Soybean,4710.48,Chennai,534
2023-11-19,Soybean,4364.61,Indore,763
2023-11-20,Soybean,4750.88,Mumbai,744
2023-11-21,Soybean,4914.09,Surat,376
2023-11-22,Soybean,4863.83,Delhi,465
2023-11-23,Soybean,4574.01,Surat,750
2023-11-24,Soybean,4438.21,Surat,498
2023-11-25,Soybean,4648.73,Indore,490
2023-11-26,Soybean,5372.13,Indore,639
2023-11-27,Soybean,4419.82,Indore,590
2023-11-28,Soybean,4567.85,Delhi,360
2023-11-29,Soybean,4822.47,Chennai,449
2023-11-30,Soybean,4726.89,Delhi,649
2023-12-01,Soybean,4719.57,Surat,436
2023-12-02,Soybean,5172.45,Mumbai,428
2023-12-03,Soybean,4604.82,Delhi,562
2023-12-04,Soybean,4780.65,Delhi,660
2023-12-05,Soybean,4831.99,Surat,481
2023-12-06,Soybean,4638.83,Surat,689
2023-12-07,Soybean,4519.89,Mumbai,268
2023-12-08,Soybean,4870.18,Mumbai,477
2023-12-09,Soybean,5187.41,Delhi,877
2023-12-10,Soybean,4914.01,Chennai,775
2023-12-11,Soybean,4859.58,Surat,958
2023-12-12,Soybean,4866.64,Delhi,473
2023-12-13,Soybean,4806.98,Chennai,792
2023-12-14,Soybean,5103.99,Surat,325
2023-12-15,Soybean,4774.87,Indore,621
2023-12-16,Soybean,4613.31,Mumbai,501
2023-12-17,Soybean,4577.09,Mumbai,764
2023-12-18,Soybean,4918.02,Indore,945
2023-12-19,Soybean,5123.18,Surat,725
2023-12-20,Soybean,4967.4,Surat,513
2023-12-21,Soybean,4865.32,Surat,824
2023-12-22,Soybean,5029.41,Surat,387
2023-12-23,Soybean,4983.91,Indore,785
2023-12-24,Soybean,5120.87,Mumbai,987
2023-12-25,Soybean,5229.93,Chennai,221
2023-12-26,Soybean,4782.76,Mumbai,879
2023-12-27,Soybean,4514.74,Mumbai,629
2023-12-28,Soybean,4921.39,Chennai,496
2023-12-29,Soybean,4796.88,Chennai,737
2023-12-30,Soybean,5176.2,Surat,835
2023-12-31,Soybean,4874.0,Indore,355
2024-01-01,Soybean,4652.78,Indore,444
2024-01-02,Soybean,4922.16,Surat,896
2024-01-03,Soybean,4747.67,Chennai,565
2024-01-04,Soybean,5373.16,Delhi,640
2024-01-05,Soybean,5158.51,Chennai,562
2024-01-06,Soybean,5202.74,Surat,382
2024-01-07,Soybean,5189.46,Delhi,706
2024-01-08,Soybean,5259.31,Indore,506
2024-01-09,Soybean,5326.94,Surat,560
2024-01-10,Soybean,5001.31,Indore,520
2024-01-11,Soybean,4834.22,Chennai,452
2024-01-12,Soybean,4957.76,Indore,802
2024-01-13,Soybean,5127.0,Indore,122
2024-01-14,Soybean,4632.06,Chennai,129
2024-01-15,Soybean,5382.32,Surat,466
2024-01-16,Soybean,4783.24,Mumbai,227
2024-01-17,Soybean,5291.18,Chennai,210
2024-01-18,Soybean,5146.48,Delhi,285
2024-01-19,Soybean,5245.82,Mumbai,975
2024-01-20,Soybean,5103.04,Chennai,614
2024-01-21,Soybean,5249.47,Mumbai,999
2024-01-22,Soybean,5120.2,Indore,323
2024-01-23,Soybean,5111.84,Delhi,965
2024-01-24,Soybean,5052.07,Indore,572
2024-01-25,Soybean,5545.08,Delhi,504
2024-01-26,Soybean,5321.62,Indore,165
2024-01-27,Soybean,5298.41,Mumbai,211
2024-01-28,Soybean,5089.6,Chennai,492
2024-01-29,Soybean,5225.88,Surat,697
2024-01-30,Soybean,5083.48,Delhi,701
2024-01-31,Soybean,5190.69,Delhi,665
2024-02-01,Soybean,5055.03,Surat,308
2024-02-02,Soybean,5622.54,Mumbai,517
2024-02-03,Soybean,5161.1,Chennai,476
2024-02-04,Soybean,5145.17,Surat,686
2024-02-05,Soybean,5062.68,Indore,834
2024-02-06,Soybean,5181.09,Indore,200
2024-02-07,Soybean,5243.8,Delhi,231
2024-02-08,Soybean,5340.25,Chennai,231
2024-02-09,Soybean,5228.35,Surat,635
2024-02-10,Soybean,5044.47,Indore,253
2024-02-11,Soybean,5068.76,Chennai,841
2024-02-12,Soybean,5514.6,Chennai,921
2024-02-13,Soybean,5361.01,Chennai,301
2024-02-14,Soybean,5522.14,Surat,287
2024-02-15,Soybean,5555.11,Mumbai,119
2024-02-16,Soybean,5435.86,Mumbai,218
2024-02-17,Soybean,5165.78,Surat,320
2024-02-18,Soybean,5456.42,Indore,827
2024-02-19,Soybean,5704.7,Chennai,435
2024-02-20,Soybean,5341.45,Delhi,154
2024-02-21,Soybean,5505.11,Surat,999
2024-02-22,Soybean,5440.17,Delhi,769
2024-02-23,Soybean,5723.22,Delhi,258
2024-02-24,Soybean,5318.89,Surat,159
2024-02-25,Soybean,5690.74,Indore,916
2024-02-26,Soybean,5390.5,Indore,505
2024-02-27,Soybean,5332.01,Chennai,175
2024-02-28,Soybean,5498.04,Delhi,216
2024-02-29,Soybean,5549.65,Surat,803
2024-03-01,Soybean,5868.44,Indore,531
2024-03-02,Soybean,5554.89,Chennai,839
2024-03-03,Soybean,5534.36,Mumbai,282
2024-03-04,Soybean,5819.52,Mumbai,245
2024-03-05,Soybean,5624.96,Surat,212
2024-03-06,Soybean,5380.22,Indore,575
2024-03-07,Soybean,5784.46,Indore,402
2024-03-08,Soybean,5369.41,Indore,924
2024-03-09,Soybean,5391.41,Surat,217
2024-03-10,Soybean,5355.34,Chennai,260
2024-03-11,Soybean,5341.45,Mumbai,297
2024-03-12,Soybean,5598.85,Surat,759
2024-03-13,Soybean,5484.01,Indore,498
2024-03-14,Soybean,4843.19,Surat,174
2024-03-15,Soybean,5488.27,Mumbai,701
2024-03-16,Soybean,5441.29,Chennai,604
2024-03-17,Soybean,5726.25,Surat,672
2024-03-18,Soybean,5437.71,Delhi,149
2024-03-19,Soybean,6060.74,Indore,718
2024-03-20,Soybean,5834.63,Mumbai,961
2024-03-21,Soybean,5479.52,Chennai,809
2024-03-22,Soybean,5789.52,Mumbai,976
2024-03-23,Soybean,5666.59,Indore,856
2024-03-24,Soybean,5610.04,Indore,525
2024-03-25,Soybean,5725.53,Indore,401
2024-03-26,Soybean,5577.32,Delhi,680
2024-03-27,Soybean,5615.94,Chennai,931
2024-03-28,Soybean,5733.76,Chennai,148
2024-03-29,Soybean,5980.64,Chennai,173
2024-03-30,Soybean,5621.31,Chennai,455
2024-03-31,Soybean,5481.08,Delhi,359
2024-04-01,Soybean,5166.62,Delhi,740
2024-04-02,Soybean,5965.2,Mumbai,711
2024-04-03,Soybean,5520.62,Mumbai,281
2024-04-04,Soybean,5680.41,Surat,463
2024-04-05,Soybean,5954.66,Surat,668
2024-04-06,Soybean,5618.88,Surat,763
2024-04-07,Soybean,5534.16,Mumbai,647
2024-04-08,Soybean,5856.62,Chennai,507
2024-04-09,Soybean,5664.28,Surat,717
2024-04-10,Soybean,5688.65,Surat,262
2024-04-11,Soybean,5265.94,Surat,369
2024-04-12,Soybean,5810.76,Delhi,947
2024-04-13,Soybean,5643.55,Delhi,828
2024-04-14,Soybean,5292.83,Chennai,681
2024-04-15,Soybean,5662.73,Surat,940
2024-04-16,Soybean,5151.63,Chennai,327
2024-04-17,Soybean,6030.81,Indore,695
2024-04-18,Soybean,5340.18,Delhi,349
2024-04-19,Soybean,5880.91,Indore,540
2024-04-20,Soybean,5393.81,Chennai,295
2024-04-21,Soybean,5666.16,Delhi,618
2024-04-22,Soybean,5369.26,Delhi,771
2024-04-23,Soybean,5748.55,Indore,247
2024-04-24,Soybean,5499.36,Chennai,525
2024-04-25,Soybean,5637.14,Delhi,591
2024-04-26,Soybean,5543.62,Mumbai,264
2024-04-27,Soybean,5264.36,Delhi,120
2024-04-28,Soybean,5635.07,Delhi,680
2024-04-29,Soybean,5430.22,Indore,698
2024-04-30,Soybean,5736.42,Delhi,404
2024-05-01,Soybean,5476.54,Indore,470
2024-05-02,Soybean,5504.59,Mumbai,952
2024-05-03,Soybean,5852.63,Surat,544
2024-05-04,Soybean,5988.35,Mumbai,260
2024-05-05,Soybean,5665.08,Delhi,728
2024-05-06,Soybean,5446.17,Surat,994
2024-05-07,Soybean,5424.27,Delhi,426
2024-05-08,Soybean,5330.94,Mumbai,692
2024-05-09,Soybean,5364.99,Chennai,672
2024-05-10,Soybean,5430.56,Delhi,127
2024-05-11,Soybean,5873.26,Delhi,142
2024-05-12,Soybean,5435.98,Mumbai,522
2024-05-13,Soybean,5225.11,Mumbai,628
2024-05-14,Soybean,5473.44,Delhi,593
2024-05-15,Soybean,5495.4,Delhi,676
2024-05-16,Soybean,5461.47,Delhi,952
2024-05-17,Soybean,5608.74,Chennai,613
2024-05-18,Soybean,5456.96,Mumbai,165
2024-05-19,Soybean,5591.16,Delhi,197
2024-05-20,Soybean,5275.49,Indore,736
2024-05-21,Soybean,5781.76,Surat,443
2024-05-22,Soybean,5470.06,Surat,670
2024-05-23,Soybean,5493.47,Delhi,710
2024-05-24,Soybean,5250.28,Indore,930
2024-05-25,Soybean,5495.22,Mumbai,131
2024-05-26,Soybean,5524.65,Chennai,631
2024-05-27,Soybean,5153.98,Delhi,482
2024-05-28,Soybean,5049.53,Surat,977
2024-05-29,Soybean,5433.4,Surat,313
2024-05-30,Soybean,5270.16,Chennai,178
2024-05-31,Soybean,5413.06,Surat,703
2024-06-01,Soybean,5095.96,Indore,480
2024-06-02,Soybean,5035.08,Mumbai,779
2024-06-03,Soybean,5381.46,Delhi,895
2024-06-04,Soybean,5263.03,Delhi,980
2024-06-05,Soybean,4903.65,Delhi,859
2024-06-06,Soybean,5587.14,Indore,143
2024-06-07,Soybean,5049.66,Mumbai,653
2024-06-08,Soybean,5818.47,Surat,326
2024-06-09,Soybean,5171.55,Surat,890
2024-06-10,Soybean,5369.16,Mumbai,478
2024-06-11,Soybean,5610.68,Delhi,526
2024-06-12,Soybean,5569.56,Indore,808
2024-06-13,Soybean,5663.24,Indore,878
2024-06-14,Soybean,4953.69,Surat,685
2024-06-15,Soybean,5023.38,Surat,575
2024-06-16,Soybean,5287.96,Mumbai,263
2024-06-17,Soybean,5402.87,Chennai,696
2024-06-18,Soybean,5224.8,Mumbai,658
2024-06-19,Soybean,4891.54,Delhi,653
2024-06-20,Soybean,5310.51,Surat,567
2024-06-21,Soybean,5164.38,Surat,485
2024-06-22,Soybean,5153.98,Indore,976
2024-06-23,Soybean,4731.61,Indore,382
2024-06-24,Soybean,5338.66,Delhi,974
2024-06-25,Soybean,5200.13,Mumbai,319
2024-06-26,Soybean,5522.04,Mumbai,619
2024-06-27,Soybean,5140.01,Chennai,991
2024-06-28,Soybean,5260.07,Indore,712
2024-06-29,Soybean,5305.04,Surat,465
2024-06-30,Soybean,4781.32,Indore,643
2024-07-01,Soybean,5645.76,Mumbai,623
2024-07-02,Soybean,5028.13,Indore,913
2024-07-03,Soybean,5205.06,Mumbai,674
2024-07-04,Soybean,5226.13,Chennai,986
2024-07-05,Soybean,4926.93,Chennai,632
2024-07-06,Soybean,5451.17,Chennai,261
2024-07-07,Soybean,5126.86,Surat,201
2024-07-08,Soybean,5022.88,Delhi,834
2024-07-09,Soybean,5085.19,Indore,346
2024-07-10,Soybean,5202.28,Indore,936
2024-07-11,Soybean,5043.55,Mumbai,230
2024-07-12,Soybean,5209.76,Mumbai,295
2024-07-13,Soybean,4688.4,Mumbai,765
2024-07-14,Soybean,4867.82,Chennai,326
2024-07-15,Soybean,4581.72,Chennai,575
2024-07-16,Soybean,5400.98,Chennai,364
2024-07-17,Soybean,5390.52,Surat,585
2024-07-18,Soybean,5111.22,Delhi,745
2024-07-19,Soybean,4775.58,Indore,671
2024-07-20,Soybean,5448.34,Surat,476
2024-07-21,Soybean,4841.78,Indore,549
2024-07-22,Soybean,4912.37,Surat,975
2024-07-23,Soybean,4979.32,Mumbai,824
2024-07-24,Soybean,5030.17,Delhi,230
2024-07-25,Soybean,5061.14,Surat,575
2024-07-26,Soybean,5061.74,Delhi,376
2024-07-27,Soybean,4888.66,Surat,859
2024-07-28,Soybean,5043.88,Delhi,289
2024-07-29,Soybean,4865.17,Mumbai,774
2024-07-30,Soybean,5011.69,Surat,645
2024-07-31,Soybean,4988.17,Mumbai,406
2024-08-01,Soybean,5034.24,Delhi,413
2024-08-02,Soybean,5002.29,Indore,378
2024-08-03,Soybean,4779.32,Mumbai,936
2024-08-04,Soybean,4952.73,Surat,750
2024-08-05,Soybean,4984.94,Indore,388
2024-08-06,Soybean,4589.38,Surat,992
2024-08-07,Soybean,4786.22,Delhi,165
2024-08-08,Soybean,4956.17,Indore,347
