Date,Commodity,State,District,Price,Quantity,Market
2016-03-27,Mustard,Maharashtra,Indore,7200.0,156.71,Indore
2016-03-28,Mustard,Maharashtra,Indore,7200.0,895.91,Indore
2016-03-29,Mustard,Maharashtra,Indore,7200.0,983.71,Indore
2016-03-30,Mustard,Maharashtra,Indore,7200.0,342.7,Indore
2016-03-31,Mustard,Maharashtra,Indore,7200.0,476.07,Indore
2016-04-01,Mustard,Maharashtra,Indore,7200.0,972.92,Indore
2016-04-02,Mustard,Maharashtra,Indore,7200.0,207.88,Indore
2016-04-03,Mustard,Maharashtra,Indore,7200.0,695.92,Indore
2016-04-04,Mustard,Maharashtra,Indore,7200.0,839.04,Indore
2016-04-05,Mustard,Maharashtra,Indore,7200.0,999.28,Indore
2016-04-06,Mustard,Maharashtra,Indore,7200.0,786.98,Indore
2016-04-07,Mustard,Maharashtra,Indore,7200.0,386.53,Indore
2016-04-08,Mustard,Maharashtra,Indore,7200.0,597.95,Indore
2016-04-09,Mustard,Maharashtra,Indore,7200.0,576.45,Indore
2016-04-10,Mustard,Maharashtra,Indore,7200.0,467.82,Indore
2016-04-11,Mustard,Maharashtra,Indore,7200.0,916.92,Indore
2016-04-12,Mustard,Maharashtra,Indore,7200.0,327.07,Indore
2016-04-13,Mustard,Maharashtra,Indore,7200.0,689.39,Indore
2016-04-14,Mustard,Maharashtra,Indore,7200.0,844.19,Indore
2016-04-15,Mustard,Maharashtra,Indore,7200.0,313.41,Indore
2016-04-16,Mustard,Maharashtra,Indore,7200.0,714.22,Indore
2016-04-17,Mustard,Maharashtra,Indore,7200.0,186.23,Indore
2016-04-18,Mustard,Maharashtra,Indore,7200.0,913.05,Indore
2016-04-19,Mustard,Maharashtra,Indore,7200.0,352.03,Indore
2016-04-20,Mustard,Maharashtra,Indore,7200.0,808.03,Indore
2016-04-21,Mustard,Maharashtra,Indore,7200.0,165.04,Indore
2016-04-22,Mustard,Maharashtra,Indore,7200.0,455.91,Indore
2016-04-23,Mustard,Maharashtra,Indore,7200.0,700.9,Indore
2016-04-24,Mustard,Maharashtra,Indore,7200.0,981.22,Indore
2016-04-25,Mustard,Maharashtra,Indore,7200.0,219.03,Indore
2016-04-26,Mustard,Maharashtra,Indore,7200.0,762.2,Indore
2016-04-27,Mustard,Maharashtra,Indore,7200.0,523.39,Indore
2016-04-28,Mustard,Maharashtra,Indore,7200.0,642.14,Indore
2016-04-29,Mustard,Maharashtra,Indore,7200.0,739.96,Indore
2016-04-30,Mustard,Maharashtra,Indore,7200.0,688.25,Indore
2016-05-01,Mustard,Maharashtra,Indore,7200.0,103.93,Indore
2016-05-02,Mustard,Maharashtra,Indore,7200.0,858.57,Indore
2016-05-03,Mustard,Maharashtra,Indore,7200.0,334.85,Indore
2016-05-04,Mustard,Maharashtra,Indore,7200.0,310.47,Indore
2016-05-05,Mustard,Maharashtra,Indore,7200.0,595.65,Indore
2016-05-06,Mustard,Maharashtra,Indore,7200.0,426.0,Indore
2016-05-07,Mustard,Maharashtra,Indore,7200.0,335.69,Indore
2016-05-08,Mustard,Maharashtra,Indore,7200.0,973.28,Indore
2016-05-09,Mustard,Maharashtra,Indore,7200.0,884.94,Indore
2016-05-10,Mustard,Maharashtra,Indore,7200.0,744.56,Indore
2016-05-11,Mustard,Maharashtra,Indore,7200.0,395.36,Indore
2016-05-12,Mustard,Maharashtra,Indore,7200.0,920.2,Indore
2016-05-13,Mustard,Maharashtra,Indore,7200.0,843.71,Indore
2016-05-14,Mustard,Maharashtra,Indore,7200.0,951.13,Indore
2016-05-15,Mustard,Maharashtra,Indore,7200.0,574.55,Indore
2016-05-16,Mustard,Maharashtra,Indore,7200.0,997.17,Indore
2016-05-17,Mustard,Maharashtra,Indore,7200.0,122.62,Indore
2016-05-18,Mustard,Maharashtra,Indore,7200.0,712.56,Indore
2016-05-19,Mustard,Maharashtra,Indore,7200.0,559.16,Indore
2016-05-20,Mustard,Maharashtra,Indore,7200.0,508.43,Indore
2016-05-21,Mustard,Maharashtra,Indore,7200.0,603.27,Indore
2016-05-22,Mustard,Maharashtra,Indore,7200.0,359.7,Indore
2016-05-23,Mustard,Maharashtra,Indore,7200.0,532.27,Indore
2016-05-24,Mustard,Maharashtra,Indore,7200.0,298.22,Indore
2016-05-25,Mustard,Maharashtra,Indore,7200.0,819.9,Indore
2016-05-26,Mustard,Maharashtra,Indore,7200.0,796.5,Indore
2016-05-27,Mustard,Maharashtra,Indore,7200.0,959.14,Indore
2016-05-28,Mustard,Maharashtra,Indore,7200.0,569.21,Indore
2016-05-29,Mustard,Maharashtra,Indore,7200.0,519.76,Indore
2016-05-30,Mustard,Maharashtra,Indore,7200.0,813.23,Indore
2016-05-31,Mustard,Maharashtra,Indore,7200.0,497.63,Indore
2016-06-01,Mustard,Maharashtra,Indore,7200.0,236.47,Indore
2016-06-02,Mustard,Maharashtra,Indore,7200.0,798.32,Indore
2016-06-03,Mustard,Maharashtra,Indore,7200.0,282.12,Indore
2016-06-04,Mustard,Maharashtra,Indore,7200.0,155.52,Indore
2016-06-05,Mustard,Maharashtra,Indore,7200.0,433.03,Indore
2016-06-06,Mustard,Maharashtra,Indore,7200.0,565.08,Indore
2016-06-07,Mustard,Maharashtra,Indore,7200.0,389.19,Indore
2016-06-08,Mustard,Maharashtra,Indore,7200.0,733.16,Indore
2016-06-09,Mustard,Maharashtra,Indore,7200.0,445.09,Indore
2016-06-10,Mustard,Maharashtra,Indore,7200.0,496.99,Indore
2016-06-11,Mustard,Maharashtra,Indore,7200.0,228.04,Indore
2016-06-12,Mustard,Maharashtra,Indore,7200.0,722.21,Indore
2016-06-13,Mustard,Maharashtra,Indore,7200.0,505.34,Indore
2016-06-14,Mustard,Maharashtra,Indore,7200.0,161.14,Indore
2016-06-15,Mustard,Maharashtra,Indore,7200.0,561.3,Indore
2016-06-16,Mustard,Maharashtra,Indore,7200.0,270.19,Indore
2016-06-17,Mustard,Maharashtra,Indore,7200.0,684.56,Indore
2016-06-18,Mustard,Maharashtra,Indore,7200.0,782.37,Indore
2016-06-19,Mustard,Maharashtra,Indore,7200.0,212.85,Indore
2016-06-20,Mustard,Maharashtra,Indore,7200.0,264.66,Indore
2016-06-21,Mustard,Maharashtra,Indore,7200.0,717.27,Indore
2016-06-22,Mustard,Maharashtra,Indore,7200.0,918.79,Indore
2016-06-23,Mustard,Maharashtra,Indore,7200.0,267.1,Indore
2016-06-24,Mustard,Maharashtra,Indore,7200.0,241.22,Indore
2016-06-25,Mustard,Maharashtra,Indore,7200.0,624.91,Indore
2016-06-26,Mustard,Maharashtra,Indore,7200.0,327.31,Indore
2016-06-27,Mustard,Maharashtra,Indore,7200.0,949.89,Indore
2016-06-28,Mustard,Maharashtra,Indore,7200.0,910.36,Indore
2016-06-29,Mustard,Maharashtra,Indore,7200.0,646.27,Indore
2016-06-30,Mustard,Maharashtra,Indore,7200.0,435.61,Indore
2016-07-01,Mustard,Maharashtra,Indore,7200.0,296.0,Indore
2016-07-02,Mustard,Maharashtra,Indore,7200.0,236.73,Indore
2016-07-03,Mustard,Maharashtra,Indore,7200.0,939.12,Indore
2016-07-04,Mustard,Maharashtra,Indore,7200.0,208.74,Indore
2016-07-05,Mustard,Maharashtra,Indore,7200.0,253.14,Indore
2016-07-06,Mustard,Maharashtra,Indore,7200.0,480.55,Indore
2016-07-07,Mustard,Maharashtra,Indore,7200.0,676.05,Indore
2016-07-08,Mustard,Maharashtra,Indore,7200.0,933.09,Indore
2016-07-09,Mustard,Maharashtra,Indore,7200.0,566.04,Indore
2016-07-10,Mustard,Maharashtra,Indore,7200.0,431.87,Indore
2016-07-11,Mustard,Maharashtra,Indore,7200.0,728.48,Indore
2016-07-12,Mustard,Maharashtra,Indore,7200.0,892.73,Indore
2016-07-13,Mustard,Maharashtra,Indore,7200.0,693.62,Indore
2016-07-14,Mustard,Maharashtra,Indore,7200.0,609.58,Indore
2016-07-15,Mustard,Maharashtra,Indore,7200.0,546.1,Indore
2016-07-16,Mustard,Maharashtra,Indore,7200.0,871.27,Indore
2016-07-17,Mustard,Maharashtra,Indore,7200.0,376.67,Indore
2016-07-18,Mustard,Maharashtra,Indore,7200.0,483.42,Indore
2016-07-19,Mustard,Maharashtra,Indore,7200.0,574.57,Indore
2016-07-20,Mustard,Maharashtra,Indore,7200.0,647.99,Indore
2016-07-21,Mustard,Maharashtra,Indore,7200.0,642.23,Indore
2016-07-22,Mustard,Maharashtra,Indore,7200.0,598.85,Indore
2016-07-23,Mustard,Maharashtra,Indore,7200.0,602.54,Indore
2016-07-24,Mustard,Maharashtra,Indore,7200.0,696.28,Indore
2016-07-25,Mustard,Maharashtra,Indore,7200.0,784.48,Indore
2016-07-26,Mustard,Maharashtra,Indore,7200.0,378.65,Indore
2016-07-27,Mustard,Maharashtra,Indore,7200.0,787.12,Indore
2016-07-28,Mustard,Maharashtra,Indore,7200.0,951.66,Indore
2016-07-29,Mustard,Maharashtra,Indore,7200.0,995.99,Indore
2016-07-30,Mustard,Maharashtra,Indore,7200.0,765.11,Indore
2016-07-31,Mustard,Maharashtra,Indore,7200.0,315.11,Indore
2016-08-01,Mustard,Maharashtra,Indore,7200.0,670.48,Indore
2016-08-02,Mustard,Maharashtra,Indore,7200.0,532.58,Indore
2016-08-03,Mustard,Maharashtra,Indore,7200.0,566.7,Indore
2016-08-04,Mustard,Maharashtra,Indore,7200.0,920.29,Indore
2016-08-05,Mustard,Maharashtra,Indore,7200.0,699.88,Indore
2016-08-06,Mustard,Maharashtra,Indore,7200.0,490.99,Indore
2016-08-07,Mustard,Maharashtra,Indore,7200.0,340.99,Indore
2016-08-08,Mustard,Maharashtra,Indore,7200.0,184.51,Indore
2016-08-09,Mustard,Maharashtra,Indore,7200.0,193.17,Indore
2016-08-10,Mustard,Maharashtra,Indore,7200.0,759.45,Indore
2016-08-11,Mustard,Maharashtra,Indore,7200.0,611.51,Indore
2016-08-12,Mustard,Maharashtra,Indore,7200.0,152.5,Indore
2016-08-13,Mustard,Maharashtra,Indore,7200.0,991.36,Indore
2016-08-14,Mustard,Maharashtra,Indore,7200.0,414.91,Indore
2016-08-15,Mustard,Maharashtra,Indore,7200.0,538.03,Indore
2016-08-16,Mustard,Maharashtra,Indore,7200.0,829.25,Indore
2016-08-17,Mustard,Maharashtra,Indore,7200.0,467.88,Indore
2016-08-18,Mustard,Maharashtra,Indore,7200.0,469.92,Indore
2016-08-19,Mustard,Maharashtra,Indore,7200.0,297.46,Indore
2016-08-20,Mustard,Maharashtra,Indore,7200.0,123.72,Indore
2016-08-21,Mustard,Maharashtra,Indore,7200.0,922.03,Indore
2016-08-22,Mustard,Maharashtra,Indore,7200.0,715.32,Indore
2016-08-23,Mustard,Maharashtra,Indore,7200.0,757.84,Indore
2016-08-24,Mustard,Maharashtra,Indore,7200.0,936.17,Indore
2016-08-25,Mustard,Maharashtra,Indore,7200.0,803.46,Indore
2016-08-26,Mustard,Maharashtra,Indore,7200.0,669.02,Indore
2016-08-27,Mustard,Maharashtra,Indore,7200.0,768.56,Indore
2016-08-28,Mustard,Maharashtra,Indore,7200.0,585.78,Indore
2016-08-29,Mustard,Maharashtra,Indore,7200.0,261.05,Indore
2016-08-30,Mustard,Maharashtra,Indore,7200.0,759.2,Indore
2016-08-31,Mustard,Maharashtra,Indore,7200.0,710.67,Indore
2016-09-01,Mustard,Maharashtra,Indore,7200.0,783.92,Indore
2016-09-02,Mustard,Maharashtra,Indore,7200.0,178.56,Indore
2016-09-03,Mustard,Maharashtra,Indore,7200.0,405.7,Indore
2016-09-04,Mustard,Maharashtra,Indore,7200.0,286.82,Indore
2016-09-05,Mustard,Maharashtra,Indore,7200.0,881.37,Indore
2016-09-06,Mustard,Maharashtra,Indore,7200.0,187.6,Indore
2016-09-07,Mustard,Maharashtra,Indore,7200.0,406.03,Indore
2016-09-08,Mustard,Maharashtra,Indore,7200.0,902.89,Indore
2016-09-09,Mustard,Maharashtra,Indore,7200.0,990.21,Indore
2016-09-10,Mustard,Maharashtra,Indore,7200.0,527.91,Indore
2016-09-11,Mustard,Maharashtra,Indore,7200.0,521.05,Indore
2016-09-12,Mustard,Maharashtra,Indore,7200.0,234.48,Indore
2016-09-13,Mustard,Maharashtra,Indore,7200.0,851.26,Indore
2016-09-14,Mustard,Maharashtra,Indore,7200.0,495.06,Indore
2016-09-15,Mustard,Maharashtra,Indore,7200.0,277.55,Indore
2016-09-16,Mustard,Maharashtra,Indore,7200.0,341.72,Indore
2016-09-17,Mustard,Maharashtra,Indore,7200.0,602.72,Indore
2016-09-18,Mustard,Maharashtra,Indore,7200.0,129.62,Indore
2016-09-19,Mustard,Maharashtra,Indore,7200.0,922.76,Indore
2016-09-20,Mustard,Maharashtra,Indore,7200.0,715.1,Indore
2016-09-21,Mustard,Maharashtra,Indore,7200.0,215.88,Indore
2016-09-22,Mustard,Maharashtra,Indore,7200.0,108.17,Indore
2016-09-23,Mustard,Maharashtra,Indore,7200.0,295.65,Indore
2016-09-24,Mustard,Maharashtra,Indore,7200.0,517.17,Indore
2016-09-25,Mustard,Maharashtra,Indore,7200.0,407.37,Indore
2016-09-26,Mustard,Maharashtra,Indore,7200.0,379.94,Indore
2016-09-27,Mustard,Maharashtra,Indore,7200.0,753.65,Indore
2016-09-28,Mustard,Maharashtra,Indore,7200.0,160.76,Indore
2016-09-29,Mustard,Maharashtra,Indore,7200.0,271.11,Indore
2016-09-30,Mustard,Maharashtra,Indore,7200.0,102.88,Indore
2016-10-01,Mustard,Maharashtra,Indore,7200.0,728.79,Indore
2016-10-02,Mustard,Maharashtra,Indore,7200.0,193.7,Indore
2016-10-03,Mustard,Maharashtra,Indore,7200.0,605.52,Indore
2016-10-04,Mustard,Maharashtra,Indore,7200.0,257.5,Indore
2016-10-05,Mustard,Maharashtra,Indore,7200.0,462.91,Indore
2016-10-06,Mustard,Maharashtra,Indore,7200.0,940.05,Indore
2016-10-07,Mustard,Maharashtra,Indore,7200.0,999.36,Indore
2016-10-08,Mustard,Maharashtra,Indore,7200.0,561.16,Indore
2016-10-09,Mustard,Maharashtra,Indore,7200.0,336.07,Indore
2016-10-10,Mustard,Maharashtra,Indore,7200.0,365.21,Indore
2016-10-11,Mustard,Maharashtra,Indore,7200.0,585.15,Indore
2016-10-12,Mustard,Maharashtra,Indore,7200.0,177.86,Indore
2016-10-13,Mustard,Maharashtra,Indore,7200.0,121.92,Indore
2016-10-14,Mustard,Maharashtra,Indore,7200.0,125.36,Indore
2016-10-15,Mustard,Maharashtra,Indore,7200.0,237.81,Indore
2016-10-16,Mustard,Maharashtra,Indore,7200.0,264.6,Indore
2016-10-17,Mustard,Maharashtra,Indore,7200.0,779.67,Indore
2016-10-18,Mustard,Maharashtra,Indore,7200.0,699.4,Indore
2016-10-19,Mustard,Maharashtra,Indore,7200.0,716.68,Indore
2016-10-20,Mustard,Maharashtra,Indore,7200.0,669.31,Indore
2016-10-21,Mustard,Maharashtra,Indore,7200.0,313.76,Indore
2016-10-22,Mustard,Maharashtra,Indore,7200.0,214.51,Indore
2016-10-23,Mustard,Maharashtra,Indore,7200.0,375.18,Indore
2016-10-24,Mustard,Maharashtra,Indore,7200.0,797.73,Indore
2016-10-25,Mustard,Maharashtra,Indore,7200.0,349.25,Indore
2016-10-26,Mustard,Maharashtra,Indore,7200.0,129.25,Indore
2016-10-27,Mustard,Maharashtra,Indore,7200.0,270.51,Indore
2016-10-28,Mustard,Maharashtra,Indore,7200.0,178.11,Indore
2016-10-29,Mustard,Maharashtra,Indore,7200.0,628.78,Indore
2016-10-30,Mustard,Maharashtra,Indore,7200.0,318.4,Indore
2016-10-31,Mustard,Maharashtra,Indore,7200.0,288.53,Indore
2016-11-01,Mustard,Maharashtra,Indore,7200.0,130.36,Indore
2016-11-02,Mustard,Maharashtra,Indore,7200.0,900.94,Indore
2016-11-03,Mustard,Maharashtra,Indore,7200.0,476.66,Indore
2016-11-04,Mustard,Maharashtra,Indore,7200.0,665.17,Indore
2016-11-05,Mustard,Maharashtra,Indore,7200.0,124.48,Indore
2016-11-06,Mustard,Maharashtra,Indore,7200.0,146.7,Indore
2016-11-07,Mustard,Maharashtra,Indore,7200.0,242.21,Indore
2016-11-08,Mustard,Maharashtra,Indore,7200.0,827.93,Indore
2016-11-09,Mustard,Maharashtra,Indore,7200.0,118.4,Indore
2016-11-10,Mustard,Maharashtra,Indore,7200.0,345.04,Indore
2016-11-11,Mustard,Maharashtra,Indore,7200.0,726.68,Indore
2016-11-12,Mustard,Maharashtra,Indore,7200.0,248.17,Indore
2016-11-13,Mustard,Maharashtra,Indore,7200.0,954.69,Indore
2016-11-14,Mustard,Maharashtra,Indore,7200.0,225.78,Indore
2016-11-15,Mustard,Maharashtra,Indore,7200.0,700.82,Indore
2016-11-16,Mustard,Maharashtra,Indore,7200.0,438.77,Indore
2016-11-17,Mustard,Maharashtra,Indore,7200.0,757.4,Indore
2016-11-18,Mustard,Maharashtra,Indore,7200.0,685.26,Indore
2016-11-19,Mustard,Maharashtra,Indore,7200.0,346.81,Indore
2016-11-20,Mustard,Maharashtra,Indore,7200.0,410.64,Indore
2016-11-21,Mustard,Maharashtra,Indore,7200.0,565.96,Indore
2016-11-22,Mustard,Maharashtra,Indore,7200.0,219.34,Indore
2016-11-23,Mustard,Maharashtra,Indore,7200.0,729.98,Indore
2016-11-24,Mustard,Maharashtra,Indore,7200.0,651.9,Indore
2016-11-25,Mustard,Maharashtra,Indore,7200.0,994.34,Indore
2016-11-26,Mustard,Maharashtra,Indore,7200.0,569.55,Indore
2016-11-27,Mustard,Maharashtra,Indore,7200.0,380.12,Indore
2016-11-28,Mustard,Maharashtra,Indore,7200.0,243.8,Indore
2016-11-29,Mustard,Maharashtra,Indore,7200.0,465.39,Indore
2016-11-30,Mustard,Maharashtra,Indore,7200.0,414.63,Indore
2016-12-01,Mustard,Maharashtra,Indore,7200.0,614.52,Indore
2016-12-02,Mustard,Maharashtra,Indore,7200.0,203.46,Indore
2016-12-03,Mustard,Maharashtra,Indore,7200.0,864.91,Indore
2016-12-04,Mustard,Maharashtra,Indore,7200.0,710.22,Indore
2016-12-05,Mustard,Maharashtra,Indore,7200.0,819.02,Indore
2016-12-06,Mustard,Maharashtra,Indore,7200.0,221.82,Indore
2016-12-07,Mustard,Maharashtra,Indore,7200.0,926.9,Indore
2016-12-08,Mustard,Maharashtra,Indore,7200.0,657.16,Indore
2016-12-09,Mustard,Maharashtra,Indore,7200.0,817.78,Indore
2016-12-10,Mustard,Maharashtra,Indore,7200.0,424.44,Indore
2016-12-11,Mustard,Maharashtra,Indore,7200.0,972.95,Indore
2016-12-12,Mustard,Maharashtra,Indore,7200.0,247.28,Indore
2016-12-13,Mustard,Maharashtra,Indore,7200.0,512.18,Indore
2016-12-14,Mustard,Maharashtra,Indore,7200.0,821.09,Indore
2016-12-15,Mustard,Maharashtra,Indore,7200.0,261.91,Indore
2016-12-16,Mustard,Maharashtra,Indore,7200.0,159.4,Indore
2016-12-17,Mustard,Maharashtra,Indore,7200.0,381.62,Indore
2016-12-18,Mustard,Maharashtra,Indore,7200.0,812.94,Indore
2016-12-19,Mustard,Maharashtra,Indore,7200.0,586.76,Indore
2016-12-20,Mustard,Maharashtra,Indore,7200.0,350.48,Indore
2016-12-21,Mustard,Maharashtra,Indore,7200.0,729.39,Indore
2016-12-22,Mustard,Maharashtra,Indore,7200.0,363.94,Indore
2016-12-23,Mustard,Maharashtra,Indore,7200.0,952.14,Indore
2016-12-24,Mustard,Maharashtra,Indore,7200.0,759.06,Indore
2016-12-25,Mustard,Maharashtra,Indore,7200.0,459.12,Indore
2016-12-26,Mustard,Maharashtra,Indore,7200.0,621.99,Indore
2016-12-27,Mustard,Maharashtra,Indore,7200.0,564.32,Indore
2016-12-28,Mustard,Maharashtra,Indore,7200.0,767.74,Indore
2016-12-29,Mustard,Maharashtra,Indore,7200.0,935.29,Indore
2016-12-30,Mustard,Maharashtra,Indore,7200.0,384.3,Indore
2016-12-31,Mustard,Maharashtra,Indore,7200.0,670.67,Indore
2017-01-01,Mustard,Maharashtra,Indore,7200.0,180.53,Indore
2017-01-02,Mustard,Maharashtra,Indore,7200.0,896.38,Indore
2017-01-03,Mustard,Maharashtra,Indore,7200.0,909.78,Indore
2017-01-04,Mustard,Maharashtra,Indore,7200.0,763.83,Indore
2017-01-05,Mustard,Maharashtra,Indore,7200.0,269.96,Indore
2017-01-06,Mustard,Maharashtra,Indore,7200.0,786.59,Indore
2017-01-07,Mustard,Maharashtra,Indore,7200.0,981.92,Indore
2017-01-08,Mustard,Maharashtra,Indore,7200.0,116.08,Indore
2017-01-09,Mustard,Maharashtra,Indore,7200.0,116.22,Indore
2017-01-10,Mustard,Maharashtra,Indore,7200.0,298.88,Indore
2017-01-11,Mustard,Maharashtra,Indore,7200.0,906.0,Indore
2017-01-12,Mustard,Maharashtra,Indore,7200.0,454.78,Indore
2017-01-13,Mustard,Maharashtra,Indore,7200.0,249.89,Indore
2017-01-14,Mustard,Maharashtra,Indore,7200.0,779.71,Indore
2017-01-15,Mustard,Maharashtra,Indore,7200.0,743.75,Indore
2017-01-16,Mustard,Maharashtra,Indore,7200.0,529.53,Indore
2017-01-17,Mustard,Maharashtra,Indore,7200.0,612.42,Indore
2017-01-18,Mustard,Maharashtra,Indore,7200.0,779.55,Indore
2017-01-19,Mustard,Maharashtra,Indore,7200.0,432.29,Indore
2017-01-20,Mustard,Maharashtra,Indore,7200.0,252.9,Indore
2017-01-21,Mustard,Maharashtra,Indore,7200.0,900.99,Indore
2017-01-22,Mustard,Maharashtra,Indore,7200.0,919.43,Indore
2017-01-23,Mustard,Maharashtra,Indore,7200.0,564.11,Indore
2017-01-24,Mustard,Maharashtra,Indore,7200.0,111.52,Indore
2017-01-25,Mustard,Maharashtra,Indore,7200.0,335.22,Indore
2017-01-26,Mustard,Maharashtra,Indore,7200.0,353.1,Indore
2017-01-27,Mustard,Maharashtra,Indore,7200.0,222.59,Indore
2017-01-28,Mustard,Maharashtra,Indore,7200.0,258.48,Indore
2017-01-29,Mustard,Maharashtra,Indore,7200.0,465.69,Indore
2017-01-30,Mustard,Maharashtra,Indore,7200.0,685.28,Indore
